ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
23410,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-helper.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-train.py.html,0.07138607971445568,18,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-helper.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-train.py,1,18,17,1,18,17
23607,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-haiku_test.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_40.py.html,0.043072505384063174,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-haiku_test.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_40.py,117,134,17,379,405,26
23761,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-reshape.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-depthwise_conv.py.html,0.11411411411411411,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-reshape.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-depthwise_conv.py,61,62,1,18,21,3
24057,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-util_test.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-input_pipeline.py.html,0.020179372197309416,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-util_test.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-input_pipeline.py,69,70,1,141,143,2
24349,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_base.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-hooks.py.html,0.09208972845336481,11,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_base.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-hooks.py,122,126,4,129,132,3
25029,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-esp32h2beta1.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-hooks.py.html,0.04884004884004884,11,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-esp32h2beta1.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-hooks.py,107,110,3,129,132,3
25252,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-example_config_test.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-autopic.py.html,0.06766917293233082,9,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-example_config_test.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-autopic.py,4,12,8,1,9,8
26302,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-main_4.py-google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-changesummary_test.py.html,0.09655172413793103,9,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-main_4.py,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-changesummary_test.py,12,16,4,7,10,3
26993,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-batch_norm.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_40.py.html,0.0659536541889483,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-batch_norm.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_40.py,114,117,3,279,283,4
27010,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-pooling_encoder_test.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-pipeline_test.py.html,0.16846652267818574,10,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-pooling_encoder_test.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-pipeline_test.py,8,12,4,20,23,3
