ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
11,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-AudioPolicyConfigFactory.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-Theme.cs-11.html,12,EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-AudioPolicyConfigFactory.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-Theme.cs,5,10,5,7,12,5
12,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-UdpServer.cs-NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-UdpClient.cs-12.html,41,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-UdpServer.cs,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-UdpClient.cs,202,210,8,234,242,8
13,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-SslClient.cs-NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-SslSession.cs-13.html,57,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-SslClient.cs,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-SslSession.cs,479,498,19,329,348,19
14,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-HttpsTests.cs-NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-HttpsTests.cs-14.html,22,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-HttpsTests.cs,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-HttpsTests.cs,111,113,2,106,108,2
15,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-TemporaryAppItemViewModel.cs-EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-TemporaryAppItemViewModel.cs-15.html,36,EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-TemporaryAppItemViewModel.cs,EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-TemporaryAppItemViewModel.cs,20,33,13,36,49,13
16,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-ResizeBasedServiceTests.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-BreakpointServiceTests.cs-16.html,113,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-ResizeBasedServiceTests.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-BreakpointServiceTests.cs,279,297,18,308,326,18
17,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DataGridTests.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DataGridTests.cs-17.html,19,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DataGridTests.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DataGridTests.cs,1393,1396,3,1463,1466,3
18,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoTweenConfig.cs-dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoTweenConfig_58.cs-18.html,1201,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoTweenConfig.cs,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoTweenConfig_58.cs,39,271,232,39,271,232
19,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-JsonTests.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-JsonTests.cs-19.html,66,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-JsonTests.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-JsonTests.cs,235,244,9,102,111,9
20,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-Vector3Array_35.cs-dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-Vector3Array.cs-20.html,274,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-Vector3Array_35.cs,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-Vector3Array.cs,7,33,26,7,33,26
