ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
236945,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lundump.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sse2neon.h.html,0.017254503933011926,8,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lundump.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sse2neon.h,144,150,6,5004,5012,8
238219,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-ecc_ansi_x963_import.c-libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-der_length_sequence.c.html,0.13793103448275862,16,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-ecc_ansi_x963_import.c,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-der_length_sequence.c,3,7,4,3,9,6
240095,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-der_length_teletex_string.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-networking.c.html,0.010983524712930605,11,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-der_length_teletex_string.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-networking.c,151,156,5,1317,1326,9
241025,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-neon.h-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc.c.html,0.01798941798941799,8,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-neon.h,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc.c,42,50,8,488,493,5
244638,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-soft_aes_1.h-Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_saadc.h.html,0.14678899082568808,16,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-soft_aes_1.h,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_saadc.h,40,55,15,118,133,15
245495,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-crypt_prng_descriptor.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-Win32_fdapi_crt.h.html,0.33962264150943394,9,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-crypt_prng_descriptor.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-Win32_fdapi_crt.h,3,3,0,8,11,3
245627,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-Win32_QFork_impl.c-libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-xtea.c.html,0.04804804804804805,8,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-Win32_QFork_impl.c,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-xtea.c,68,70,2,50,54,4
246742,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_reset.h-Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_clock.h.html,0.11796246648793565,14,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_reset.h,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_clock.h,7,19,12,134,153,19
248015,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-SFMT_1.c-libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-aes.c.html,0.15224191866527634,9,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-SFMT_1.c,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-aes.c,423,429,6,376,396,20
248434,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_lpcomp.h-Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_pdm.h.html,0.5395894428152492,9,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_lpcomp.h,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_pdm.h,173,183,10,132,140,8
248931,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrfx_pwm.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-printf.h.html,0.03849855630413859,8,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrfx_pwm.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-printf.h,231,237,6,329,333,4
249307,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-trigtest.c-libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-pcap-dpdk.c.html,0.03648068669527897,8,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-trigtest.c,libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-pcap-dpdk.c,91,99,8,123,128,5
249735,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-blake2-impl_9.h-Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_i2s.h.html,0.23052959501557632,10,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-blake2-impl_9.h,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_i2s.h,40,49,9,74,83,9
252228,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-timer_23.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-cpukinds.c.html,0.024896265560165973,9,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-timer_23.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-cpukinds.c,94,98,4,134,137,3
