ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
1121096,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_image_data_layer.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-flx.cpp.html,0.011795543905635648,9,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_image_data_layer.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-flx.cpp,209,212,3,300,303,3
1122140,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-charconv_bigint_test.cc-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_io.cpp.html,0.21841541755888652,14,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-charconv_bigint_test.cc,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_io.cpp,147,158,11,363,370,7
1122921,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-infonet.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-btalarms.h.html,0.2957920792079208,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-infonet.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-btalarms.h,131,134,3,99,100,1
1125465,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mkcca.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-agm.h.html,0.09492635024549918,18,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mkcca.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-agm.h,15,19,4,15,16,1
1126362,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-ssch.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-shash.h.html,0.03890089533806731,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-ssch.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-shash.h,12,20,8,13,16,3
1132283,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-confirmation_height_processor.hpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-generated-nice-strict.h.html,0.05275779376498801,11,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-confirmation_height_processor.hpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-generated-nice-strict.h,35,42,7,73,75,2
1133989,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-bits.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mmnet.h.html,0.12363290537327627,20,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-bits.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mmnet.h,104,107,3,139,142,3
1137440,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-intproto.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-topitch.cpp.html,0.12222222222222222,11,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-intproto.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-topitch.cpp,843,852,9,101,113,12
1138057,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-webtxtbs.cpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-data_transformer.cpp.html,0.09282700421940929,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-webtxtbs.cpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-data_transformer.cpp,42,47,5,300,312,12
1144808,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-SplitterContainer.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-cyc.cpp.html,0.025839793281653745,10,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-SplitterContainer.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-cyc.cpp,35,41,6,267,271,4
1145243,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-elst.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-paragraphs.cpp.html,0.05894736842105263,10,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-elst.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-paragraphs.cpp,46,51,5,690,695,5
1148825,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-dt.cpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-preferenceDlg.cpp.html,0.036049382716049384,13,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-dt.cpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-preferenceDlg.cpp,1555,1561,6,569,587,18
1151231,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-blob.cpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkl_convolution_layer.cpp.html,0.012077294685990338,10,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-blob.cpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkl_convolution_layer.cpp,557,565,8,41,47,6
