ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
150245,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-ReadFileChanges.h-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-DarkMode.cpp.html,0.09558823529411764,13,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-ReadFileChanges.h,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-DarkMode.cpp,12,18,6,74,80,6
159551,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-u32regex_token_iterator.hpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-svmbasic.cpp.html,0.029468786351298952,9,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-u32regex_token_iterator.hpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-svmbasic.cpp,117,120,3,386,390,4
174436,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-kernel_timeout_test.cc-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_prior_box_layer.cpp.html,0.3553629469122427,17,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-kernel_timeout_test.cc,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_prior_box_layer.cpp,60,75,15,313,341,28
192428,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mxdag.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-agmattr.h.html,0.10392902408111533,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mxdag.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-agmattr.h,35,37,2,113,115,2
194973,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-u32regex_token_iterator.hpp-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-civil_time_detail.h.html,0.11670663469224621,9,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-u32regex_token_iterator.hpp,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-civil_time_detail.h,201,203,2,143,145,2
195266,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_euclidean_loss_layer.cpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-common.hpp.html,0.14606741573033707,13,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_euclidean_loss_layer.cpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-common.hpp,48,53,5,96,101,5
197596,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkl_convolution_layer.cpp-subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-subexport.cpp.html,0.09336609336609336,11,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkl_convolution_layer.cpp,subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-subexport.cpp,531,541,10,1416,1424,8
200726,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-nsEUCTWProber.h-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-JpCntx.h.html,0.14285714285714285,9,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-nsEUCTWProber.h,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-JpCntx.h,15,18,3,25,28,3
210882,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/glm-MDEwOlJlcG9zaXRvcnk4NDM2MzE=-flat-type_int.hpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkldnn_split_layer.cpp.html,0.21818181818181817,12,glm-MDEwOlJlcG9zaXRvcnk4NDM2MzE=-flat-type_int.hpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkldnn_split_layer.cpp,8,15,7,31,35,4
219301,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-spatial_dropout_layer.hpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-softmax_loss_layer.hpp.html,0.8216216216216217,23,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-spatial_dropout_layer.hpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-softmax_loss_layer.hpp,9,17,8,10,18,8
