ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
12,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-_inline.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-pmpermit.py.html,16,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-_inline.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-pmpermit.py,337,342,5,716,721,5
13,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py.html,14,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py,219,220,1,220,221,1
14,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py.html,16,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py,105,108,3,122,125,3
15,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_7.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_12.py.html,443,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_7.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-operations_12.py,380,439,59,380,439,59
16,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-specialtools.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-bin_image.py.html,12,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-specialtools.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-bin_image.py,113,115,2,453,455,2
17,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-write_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-write_test.py.html,30,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-write_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-write_test.py,36,41,5,73,78,5
18,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-describe_9.py-google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-describe.py.html,802,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-describe_9.py,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-describe.py,145,291,146,145,291,146
19,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_36.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_26.py.html,46,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_36.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_26.py,10,20,10,5,15,10
20,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-core_reporting_v3_reference.py-google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-core_reporting_v3_reference.py.html,19,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-core_reporting_v3_reference.py,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-core_reporting_v3_reference.py,96,98,2,116,118,2
21,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-mute.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-admintools.py.html,17,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-mute.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-admintools.py,90,93,3,203,205,2
